"","day","site","new_customer","platform","visits","distinct_sessions","orders","gross_sales","bounces","add_to_cart","product_page_views","search_page_views","conversion_rate","bounce_rate","add_to_cart_rate"
"1","0013-01-01","Acme","1","Android",24,16,14,1287,4,16,104,192,0.583333333333333,0.166666666666667,0.666666666666667
"2","0013-01-01","Acme","1","BlackBerry",0,0,0,13,0,0,1,0,0,0,0
"3","0013-01-01","Sortly","1","iPad",0,0,0,98,0,0,0,0,0,0,0
"4","0013-01-01","Acme","1","Windows",922,520,527,60753,149,610,3914,7367,0.571583514099783,0.161605206073753,0.661605206073753
"5","0013-01-01","Botly","1","Android",11,10,11,1090,0,11,4,19,1,0,1
"6","0013-01-01","Acme","1","Macintosh",384,214,213,28129,65,245,1783,3255,0.5546875,0.169270833333333,0.638020833333333
"7","0013-01-01","Sortly","1","Android",14,10,4,432,4,7,33,52,0.285714285714286,0.285714285714286,0.5
"8","0013-01-01","Sortly","1","Windows",1,0,0,31,0,0,2,2,0,0,0
"9","0013-01-01","Acme","0","Linux",41,27,6,705,6,12,130,272,0.146341463414634,0.146341463414634,0.292682926829268
"10","0013-01-01","Acme","0","iPhone",448,368,36,4637,80,79,722,1073,0.0803571428571429,0.178571428571429,0.176339285714286
"11","0013-01-01","Widgetry","1","iPhone",15,14,15,1813,0,15,230,216,1,0,1
"13","0013-01-01","Sortly","1","Other",0,0,0,15075.4761904762,0,0,4,2,0,0,0
"14","0013-01-01","Tabular","1","iPad",22,21,22,3378,0,22,0,0,1,0,1
"15","0013-01-01","Sortly","1","Macintosh",0,0,0,13,0,0,3,1,0,0,0
"19","0013-01-01","Pinnacle","0","Macintosh",56,45,5,1563,17,11,120,232,0.0892857142857143,0.303571428571429,0.196428571428571
"20","0013-01-01","Botly","0","Android",20,19,20,2405,0,20,0,0,1,0,1
"21","0013-01-01","Widgetry","0","iPhone",113,109,113,15320,0,113,1729,1466,1,0,1
"27","0013-01-01","Sortly","0","Linux",0,0,0,15075.4761904762,0,0,0,0,0,0,0
"28","0013-01-01","Sortly","0","iPhone",406,317,53,6480,87,119,697,922,0.130541871921182,0.214285714285714,0.293103448275862
"31","0013-01-01","Pinnacle","1","Android",0,0,0,15075.4761904762,0,0,1,2,0,0,0
"34","0013-01-01","Acme","0","iPad",2843,1984,470,75880,508,879,10803,17325,0.165318325712276,0.178684488216673,0.309180443193809
"35","0013-01-01","Pinnacle","1","iPhone",1,0,1,244,0,1,1,1,1,0,1
"36","0013-01-01","Sortly","0","Macintosh",1,0,0,64,0,0,5,7,0,0,0
"38","0013-01-01","Pinnacle","0","Other",0,0,0,15075.4761904762,0,0,0,0,0,0,0
"39","0013-01-01","Pinnacle","1","iPad",5,1,1,276,1,2,12,11,0.2,0.2,0.4
"41","0013-01-01","Acme","1","iPhone",18,17,12,1422,1,14,52,56,0.666666666666667,0.0555555555555556,0.777777777777778
"45","0013-01-01","Pinnacle","1","Other",0,0,0,15075.4761904762,0,0,0,0,0,0,0
"46","0013-01-01","Pinnacle","0","iPad",27,22,3,798,6,6,69,102,0.111111111111111,0.222222222222222,0.222222222222222
"50","0013-01-01","Acme","1","iPad",235,133,129,16209,38,152,1027,1443,0.548936170212766,0.161702127659574,0.646808510638298
"52","0013-01-01","Sortly","0","iPad",2,1,0,41,0,1,11,7,0,0,0.5
"53","0013-01-01","Pinnacle","0","Linux",0,0,0,15075.4761904762,0,0,0,0,0,0,0
"54","0013-01-01","Pinnacle","1","Windows",6,4,3,621,1,3,20,25,0.5,0.166666666666667,0.5
"55","0013-01-01","Acme","1","Linux",4,2,2,222,1,3,16,25,0.5,0.25,0.75
"57","0013-01-01","Acme","1","Other",7,4,3,242,1,3,15,26,0.428571428571429,0.142857142857143,0.428571428571429
"58","0013-01-01","Pinnacle","0","Windows",49,39,5,1595,11,11,112,237,0.102040816326531,0.224489795918367,0.224489795918367
"62","0013-01-01","Acme","0","Macintosh",7038,4572,945,155655,2136,1625,23732,47414,0.134271099744246,0.303495311167945,0.230889457232168
"63","0013-01-01","Sortly","0","Android",94,73,7,1217,27,26,213,317,0.074468085106383,0.287234042553192,0.276595744680851
"64","0013-01-01","Sortly","0","Windows",2,1,1,55,1,1,5,5,0.5,0.5,0.5
"65","0013-01-01","Acme","0","Android",252,189,24,2760,45,60,706,1564,0.0952380952380952,0.178571428571429,0.238095238095238
"67","0013-01-01","Pinnacle","1","Macintosh",4,2,2,476,1,2,10,25,0.5,0.25,0.5
"68","0013-01-01","Acme","0","Windows",8738,6043,1445,212277,1345,2546,33303,68877,0.165369649805447,0.153925383382925,0.291371023117418
"70","0013-01-01","Acme","0","BlackBerry",11,9,0,23,3,1,11,25,0,0.272727272727273,0.0909090909090909
